  -    ; 1.200 ; 2.800 ; 3.500 ; 7.200 ; 4.400 ; 4.500 ; 7.900 ; 3.400 ; 4.000 ; 4.200 ; 3.600 ; 2.700 ; 6.900 ; 6.300 ; 3.400 ; 11.300 ; 4.300 ; 3.700 ; 3.400 
 1.200 ;  -    ; 1.600 ; 2.900 ; 6.600 ; 4.200 ; 3.900 ; 7.300 ; 2.400 ; 3.000 ; 3.800 ; 3.200 ; 1.700 ; 3.500 ; 5.900 ; 2.500 ; 11.000 ; 3.800 ; 3.200 ; 2.400 
 2.800 ; 1.600 ;  -    ; 4.500 ; 8.300 ; 5.500 ; 5.500 ; 11.000 ; 4.100 ; 4.300 ; 5.300 ; 4.700 ; 2.000 ; 7.900 ; 7.400 ; 2.900 ; 12.300 ; 4.700 ; 4.200 ; 3.000 
 3.500 ; 2.900 ; 4.500 ;  -    ; 3.900 ; 1.300 ; 1.200 ; 4.600 ; 1.700 ; 1.100 ; 900 ; 750 ; 3.200 ; 4.000 ; 3.400 ; 1.700 ; 4.800 ; 1.000 ; 700 ; 1.700 
 7.200 ; 6.600 ; 8.300 ; 3.900 ;  -    ; 3.400 ; 3.500 ; 3.100 ; 4.500 ; 3.900 ; 3.600 ; 4.500 ; 5.900 ; 4.500 ; 4.700 ; 4.400 ; 3.300 ; 3.200 ; 4.600 ; 4.400 
 4.400 ; 4.200 ; 5.500 ; 1.300 ; 3.400 ;  -    ; 130 ; 3.600 ; 3.000 ; 2.400 ; 900 ; 1.200 ; 4.500 ; 2.400 ; 1.900 ; 3.000 ; 3.600 ; 2.200 ; 2.200 ; 3.000 
 4.500 ; 3.900 ; 5.500 ; 1.200 ; 3.500 ; 130 ;  -    ; 3.600 ; 2.400 ; 1.800 ; 300 ; 1.100 ; 3.900 ; 2.800 ; 2.200 ; 2.300 ; 4.100 ; 1.500 ; 1.500 ; 2.400 
 7.900 ; 7.300 ; 11.000 ; 4.600 ; 3.100 ; 3.600 ; 3.600 ;  -    ; 4.800 ; 4.200 ; 3.300 ; 4.200 ; 6.300 ; 2.800 ; 3.200 ; 4.800 ; 800 ; 3.700 ; 4.200 ; 4.800 
 3.400 ; 2.400 ; 4.100 ; 1.700 ; 4.500 ; 3.000 ; 2.400 ; 4.800 ;  -    ; 650 ; 2.100 ; 2.200 ; 1.400 ; 4.900 ; 4.800 ; 73 ; 5.600 ; 1.400 ; 1.000 ; 55 
 4.000 ; 3.000 ; 4.300 ; 1.100 ; 3.900 ; 2.400 ; 1.800 ; 4.200 ; 650 ;  -    ; 1.500 ; 1.400 ; 2.100 ; 4.300 ; 4.200 ; 600 ; 5.000 ; 800 ; 700 ; 600 
