[[0, 1200, 2800, 3500, 7200, 4400, 4500, 7900, 3400, 4000],
[1200, 0, 1600, 2900, 6600, 4200, 3900, 7300, 2400, 3000],
[2800, 1600, 0, 4500, 8300, 5500, 5500, 11000, 4100, 4300], 
[3500, 2900, 4500, 0, 3900, 1300, 1200, 4600, 1700, 1100],
[7200, 6600, 8300, 3900, 0, 3400, 3500, 3100, 4500, 3900],
[4400, 4200, 5500, 1300, 3400, 0, 130, 3600, 3000, 2400],
[4500, 3900, 5500, 1200, 3500, 130, 0, 3600, 2400, 1800],
[7900, 7300, 11000, 4600, 3100, 3600, 3600, 0, 4800, 4200],
[3400, 2400, 4100, 1700, 4500, 3000, 2400, 4800, 0, 650],
[4000, 3000, 4300, 1100, 3900, 2400, 1800, 4200, 650, 0]]
[10000, 10000, 10000, 10000, 10000, 90, 90, 90, 90, 90]
[0, 0, 0, 0, 0, 1589, 1554, 1143, 1911, 1625]
