0	1.200	2.800	3.500	7.200	4.400	4.500	7.900	3.400	4.000
1.200	0	1.600	2.900	6.600	4.200	3.900	7.300	2.400	3.000
2.800	1.600	0	4.500	8.300	5.500	5.500	11.000	4.100	4.300
3.500	2.900	4.500	0	3.900	1.300	1.200	4.600	1.700	1.100
7.200	6.600	8.300	3.900	0	3.400	3.500	3.100	4.500	3.900
4.400	4.200	5.500	1.300	3.400	0	130	3.600	3.000	2.400
4.500	3.900	5.500	1.200	3.500	130	0	3.600	2.400	1.800
7.900	7.300	11.000	4.600	3.100	3.600	3.600	0	4.800	4.200
3.400	2.400	4.100	1.700	4.500	3.000	2.400	4.800	0	650
4.000	3.000	4.300	1.100	3.900	2.400	1.800	4.200	650	0
1.000	1.000	1.000	1.000	1.000	90	90	90	90	90
0	0	0	0	0	15.89	15.54	11.43	19.11	16.25
