[[0, 1200, 2800, 3500, 7200, 4400, 4500, 7900, 3400, 4000, 4200, 3600, 2700, 6900, 6300, 3400, 11300, 4300, 3700, 3400],
[1200, 0, 1600, 2900, 6600, 4200, 3900, 7300, 2400, 3000, 3800, 3200, 1700, 3500, 5900, 2500, 11000, 3800, 3200, 2400],
[2800, 1600, 0, 4500, 8300, 5500, 5500, 11000, 4100, 4300, 5300, 4700, 2000, 7900, 7400, 2900, 12300, 4700, 4200, 3000],
[3500, 2900, 4500, 0, 3900, 1300, 1200, 4600, 1700, 1100, 900, 750, 3200, 4000, 3400, 1700, 4800, 1000, 700, 1700],
[7200, 6600, 8300, 3900, 0, 3400, 3500, 3100, 4500, 3900, 3600, 4500, 5900, 4500, 4700, 4400, 3300, 3200, 4600, 4400], 
[4400, 4200, 5500, 1300, 3400, 0, 130, 3600, 3000, 2400, 900, 1200, 4500, 2400, 1900, 3000, 3600, 2200, 2200, 3000],
[4500, 3900, 5500, 1200, 3500, 130, 0, 3600, 2400, 1800, 300, 1100, 3900, 2800, 2200, 2300, 4100, 1500, 1500, 2400],
[7900, 7300, 11000, 4600, 3100, 3600, 3600, 0, 4800, 4200, 3300, 4200, 6300, 2800, 3200, 4800, 800, 3700, 4200, 4800], 
[3400, 2400, 4100, 1700, 4500, 3000, 2400, 4800, 0, 650, 2100, 2200, 1400, 4900, 4800, 73, 5600, 1400, 1000, 55],
[4000, 3000, 4300, 1100, 3900, 2400, 1800, 4200, 650, 0, 1500, 1400, 2100, 4300, 4200, 600, 5000, 800, 700, 600],
[4200, 3800, 5300, 900, 3600, 900, 300, 3300, 2100, 1500, 0, 950, 3600, 3100, 2800, 2100, 4000, 1200, 1100, 2000],
[3600, 3200, 4700, 750, 4500, 1200, 1100, 4200, 2200, 1400, 950, 0, 3600, 3300, 2900, 2100, 5000, 1100, 1000, 1800], 
[2700, 1700, 2000, 3200, 5900, 4500, 3900, 6300, 1400, 2100, 3600, 3600, 0, 6400, 6200, 1500, 7100, 2800, 2700, 1500], 
[6900, 3500, 7900, 4000, 4500, 2400, 2800, 2800, 4900, 4300, 3100, 3300, 6400, 0, 500, 4900, 3700, 4100, 4200, 4400],
[6300, 5900, 7400, 3400, 4700, 1900, 2200, 3200, 4800, 4200, 2800, 2900, 6200, 500, 0, 3900, 4100, 4100, 4300, 5000],
[3400, 2500, 2900, 1700, 4400, 3000, 2300, 4800, 73, 600, 2100, 2100, 1500, 4900, 3900, 0, 5500, 1400, 1200, 56],
[11300, 11000, 12300, 4800, 3300, 3600, 4100, 800, 5600, 5000, 4000, 5000, 7100, 3700, 4100, 5500, 0, 4500, 4900, 5600],
[4300, 3800, 4700, 1000, 3200, 2200, 1500, 3700, 1400, 800, 1200, 1100, 2800, 4100, 4100, 1400, 4500, 0, 700, 1400],
[3700, 3200, 4200, 700, 4600, 2200, 1500, 4200, 1000, 700, 1100, 1000, 2700, 4200, 4300, 1200, 4900, 700, 0, 1000],
[3400, 2400, 3000, 1700, 4400, 3000, 2400, 4800, 55, 600, 2000, 1800, 1500, 4400, 5000, 56, 5600, 1400, 1000, 0]]
[10000, 10000, 10000, 10000, 10000, 90, 90, 90, 90, 90, 80, 70, 70, 60, 60, 60, 70, 75, 75, 75]
[0, 0, 0, 0, 0, 1589, 1554, 1143, 1911, 1625, 2094, 1668, 2220, 725, 795, 1470, 774, 1748, 2025, 2205]
